MouseID,MouseLabel,Tau_hours,Power,Amplitude,P_value,Significant
1,SC29(SNr-DTA),23.97737013543631,0.3020725246818901,33.20934088517343,1.0,No
2,SC30(SNr-DTA),23.98559423769508,0.22771530856193767,26.024853667559054,1.0,No
3,SC31(SNr-DTA),23.93633407496149,0.22245096040079854,25.584104612229154,1.0,No
4,SC32(SNr-DTA),23.903606221158775,0.16749389749731844,18.89582601909038,1.0,No
5,SC33(Control),24.01030042918455,0.12299034430259456,16.512682338615654,1.0,No
6,SC34(Control),23.765505522514868,0.06532147182480107,7.432064138753148,1.0,No
7,SC35(Control),24.489581509367888,0.02210393709836331,2.3794430603586556,1.0,No
