MouseID,MouseLabel,DayIndex,TotalBoutTime_min,MostFrequentBoutDuration_min,NumberOfBouts,MeanRevsIngBoutWindow
1,SC09(SNr-DTA),8,145,1,29,77.97931034482758
1,SC09(SNr-DTA),9,278,1,38,82.10791366906474
1,SC09(SNr-DTA),10,321,2,40,83.69781931464175
1,SC09(SNr-DTA),11,276,5,32,98.8695652173913
1,SC09(SNr-DTA),12,265,2,33,101.27547169811321
1,SC09(SNr-DTA),13,243,7,21,109.36625514403292
1,SC09(SNr-DTA),14,247,1,26,110.43319838056681
1,SC09(SNr-DTA),15,227,11,27,112.87665198237886
1,SC09(SNr-DTA),16,194,1,20,109.24226804123711
1,SC09(SNr-DTA),17,174,1,18,105.88505747126437
1,SC09(SNr-DTA),18,119,1,14,109.22689075630252
1,SC09(SNr-DTA),19,131,1,20,103.73282442748092
1,SC09(SNr-DTA),20,82,4,9,115.85365853658537
1,SC09(SNr-DTA),21,119,1,22,100.6890756302521
2,SC10(SNr-DTA),8,197,2,51,69.73096446700508
2,SC10(SNr-DTA),9,225,1,49,69.17777777777778
2,SC10(SNr-DTA),10,251,3,50,64.42231075697211
2,SC10(SNr-DTA),11,196,4,51,61.06122448979592
2,SC10(SNr-DTA),12,193,3,40,55.35751295336787
2,SC10(SNr-DTA),13,231,1,42,68.03896103896103
2,SC10(SNr-DTA),14,243,3,56,72.440329218107
2,SC10(SNr-DTA),15,249,4,53,81.5863453815261
2,SC10(SNr-DTA),16,244,3,52,80.44672131147541
2,SC10(SNr-DTA),17,297,4,51,86.95286195286195
2,SC10(SNr-DTA),18,261,1,45,91.08045977011494
2,SC10(SNr-DTA),19,272,1,48,97.62132352941177
2,SC10(SNr-DTA),20,223,1,36,102.78026905829596
2,SC10(SNr-DTA),21,119,1,21,96.33613445378151
3,SC11(SNr-DTA),8,193,1,25,93.73056994818653
3,SC11(SNr-DTA),9,241,1,32,73.78008298755186
3,SC11(SNr-DTA),10,427,1,47,85.2599531615925
3,SC11(SNr-DTA),11,407,1,45,100.65847665847666
3,SC11(SNr-DTA),12,305,1,37,111.84590163934426
3,SC11(SNr-DTA),13,257,1,36,104.86381322957199
3,SC11(SNr-DTA),14,245,1,29,120.39183673469388
3,SC11(SNr-DTA),15,234,1,26,116.53418803418803
3,SC11(SNr-DTA),16,141,1,20,114.40425531914893
3,SC11(SNr-DTA),17,172,3,23,116.76162790697674
3,SC11(SNr-DTA),18,309,1,39,120.30744336569579
3,SC11(SNr-DTA),19,183,1,29,122.98907103825137
3,SC11(SNr-DTA),20,112,1,13,126.91964285714286
3,SC11(SNr-DTA),21,154,1,17,117.83766233766234
4,SC12(SNr-DTA),8,108,2,21,65.35185185185185
4,SC12(SNr-DTA),9,416,7,45,90.90384615384616
4,SC12(SNr-DTA),10,339,5,35,93.58407079646018
4,SC12(SNr-DTA),11,307,14,29,91.25081433224756
4,SC12(SNr-DTA),12,363,2,36,94.71349862258953
4,SC12(SNr-DTA),13,343,10,28,93.8192419825073
4,SC12(SNr-DTA),14,352,1,32,94.5909090909091
4,SC12(SNr-DTA),15,339,3,34,95.64306784660766
4,SC12(SNr-DTA),16,308,1,28,102.1038961038961
4,SC12(SNr-DTA),17,274,2,24,104.25912408759125
4,SC12(SNr-DTA),18,354,3,33,103.67796610169492
4,SC12(SNr-DTA),19,320,2,25,105.9625
4,SC12(SNr-DTA),20,278,1,25,109.16187050359713
4,SC12(SNr-DTA),21,315,1,33,105.43174603174603
5,SC13(Control),8,97,1,30,39.49484536082474
5,SC13(Control),9,147,1,48,49.02040816326531
5,SC13(Control),10,105,2,33,48.65714285714286
5,SC13(Control),11,125,1,44,44.528
5,SC13(Control),12,133,2,45,48.46616541353384
5,SC13(Control),13,136,2,51,45.375
5,SC13(Control),14,147,2,58,42.51700680272109
5,SC13(Control),15,146,2,48,44.6986301369863
5,SC13(Control),16,143,2,55,45.96503496503497
5,SC13(Control),17,127,1,44,44.7007874015748
5,SC13(Control),18,130,3,44,48.92307692307692
5,SC13(Control),19,127,2,41,49.63779527559055
5,SC13(Control),20,111,2,32,53.207207207207205
5,SC13(Control),21,129,2,37,48.57364341085271
6,SC14(Control),8,80,1,21,61.3375
6,SC14(Control),9,207,8,32,86.19806763285024
6,SC14(Control),10,146,2,24,82.32876712328768
6,SC14(Control),11,226,2,36,87.11946902654867
6,SC14(Control),12,219,3,36,89.78082191780823
6,SC14(Control),13,171,4,28,91.27485380116958
6,SC14(Control),14,182,3,30,92.02747252747253
6,SC14(Control),15,184,3,31,85.30434782608695
6,SC14(Control),16,182,3,36,91.38461538461539
6,SC14(Control),17,164,1,32,84.40853658536585
6,SC14(Control),18,237,2,44,89.49789029535864
6,SC14(Control),19,158,1,31,83.89873417721519
6,SC14(Control),20,159,2,29,89.51572327044025
6,SC14(Control),21,152,2,23,88.13157894736842
7,SC15(Control),8,225,1,40,88.95111111111112
7,SC15(Control),9,415,3,50,93.97831325301205
7,SC15(Control),10,330,9,38,98.71818181818182
7,SC15(Control),11,418,2,34,108.00956937799043
7,SC15(Control),12,506,20,38,113.23715415019763
7,SC15(Control),13,501,1,37,114.35728542914171
7,SC15(Control),14,458,2,34,112.23580786026201
7,SC15(Control),15,354,1,30,107.66666666666667
7,SC15(Control),16,402,1,27,109.44527363184079
7,SC15(Control),17,406,1,31,108.01477832512315
7,SC15(Control),18,369,1,30,102.83468834688347
7,SC15(Control),19,361,12,31,98.3601108033241
7,SC15(Control),20,295,1,28,98.71525423728814
7,SC15(Control),21,330,1,29,107.65151515151516
