MouseID,MouseLabel,Tau_hours,Power,Amplitude,P_value,Significant
1,SC09(SNr-DTA),23.765505522514868,0.19984199121017673,24.175457290384013,1.0,No
2,SC10(SNr-DTA),23.91995895330939,0.18010720650799772,19.74382818839722,1.0,No
3,SC11(SNr-DTA),23.773584905660375,0.19865899315242921,28.09525193208476,1.0,No
4,SC12(SNr-DTA),23.830294769125913,0.2609801812988766,32.45475330040567,1.0,No
5,SC13(Control),24.093023255813954,0.053291640445494615,5.019471041095774,1.0,No
6,SC14(Control),23.95273163212879,0.11311701554076901,15.240233740654476,1.0,No
7,SC15(Control),23.870967741935484,0.36769343287661266,43.19598715734387,1.0,No
