MouseID,MouseLabel,DayIndex,TotalBoutTime_min,MostFrequentBoutDuration_min,NumberOfBouts,MeanRevsIngBoutWindow
1,SC04(SNr-DTA),8,371,4,52,80.7654986522911
1,SC04(SNr-DTA),9,331,3,56,80.62537764350454
1,SC04(SNr-DTA),10,350,2,66,83.31714285714285
1,SC04(SNr-DTA),11,321,3,57,87.72274143302181
1,SC04(SNr-DTA),12,233,1,44,85.45064377682404
1,SC04(SNr-DTA),13,282,4,52,88.03191489361703
1,SC04(SNr-DTA),14,256,2,42,88.71875
1,SC04(SNr-DTA),15,274,1,44,93.54014598540147
1,SC04(SNr-DTA),16,309,5,36,93.79288025889967
1,SC04(SNr-DTA),17,298,2,44,97.51677852348993
1,SC04(SNr-DTA),18,323,3,39,102.27863777089783
1,SC04(SNr-DTA),19,327,3,36,103.89908256880734
1,SC04(SNr-DTA),20,314,5,37,103.68152866242038
1,SC04(SNr-DTA),21,307,2,39,103.54397394136808
1,SC04(SNr-DTA),22,344,5,37,106.11046511627907
2,SC05(SNr-DTA),8,189,1,31,78.44973544973546
2,SC05(SNr-DTA),9,189,1,34,84.4973544973545
2,SC05(SNr-DTA),10,177,7,24,83.76271186440678
2,SC05(SNr-DTA),11,187,5,23,84.42780748663101
2,SC05(SNr-DTA),12,292,2,39,88.66095890410959
2,SC05(SNr-DTA),13,128,2,20,90.5703125
2,SC05(SNr-DTA),14,231,4,40,93.46320346320347
2,SC05(SNr-DTA),15,194,7,35,85.51546391752578
2,SC05(SNr-DTA),16,151,1,28,89.52317880794702
2,SC05(SNr-DTA),17,185,3,23,91.43243243243244
2,SC05(SNr-DTA),18,146,1,22,89.33561643835617
2,SC05(SNr-DTA),19,176,1,31,87.75568181818181
2,SC05(SNr-DTA),20,176,1,32,94.68181818181819
2,SC05(SNr-DTA),21,197,7,30,91.10659898477158
2,SC05(SNr-DTA),22,167,1,27,92.48502994011976
3,SC06(SNr-DTA),8,298,2,37,104.86241610738254
3,SC06(SNr-DTA),9,316,1,39,106.59493670886076
3,SC06(SNr-DTA),10,350,16,24,107.52571428571429
3,SC06(SNr-DTA),11,271,1,23,102.12546125461255
3,SC06(SNr-DTA),12,230,2,15,100.1086956521739
3,SC06(SNr-DTA),13,231,8,20,105.94372294372295
3,SC06(SNr-DTA),14,298,1,25,103.61409395973155
3,SC06(SNr-DTA),15,347,1,47,100.07780979827089
3,SC06(SNr-DTA),16,327,10,25,107.14067278287462
3,SC06(SNr-DTA),17,184,3,35,77.96739130434783
3,SC06(SNr-DTA),18,8,5,3,47.125
3,SC06(SNr-DTA),19,64,1,14,73.265625
3,SC06(SNr-DTA),20,111,1,15,87.57657657657657
3,SC06(SNr-DTA),21,131,1,16,96.0381679389313
3,SC06(SNr-DTA),22,193,1,16,100.27979274611398
5,SC08(Control),8,416,10,49,102.15865384615384
5,SC08(Control),9,398,8,43,105.68844221105527
5,SC08(Control),10,403,14,43,113.55334987593052
5,SC08(Control),11,369,1,41,116.30352303523036
5,SC08(Control),12,362,5,40,113.26243093922652
5,SC08(Control),13,378,6,42,124.94708994708995
5,SC08(Control),14,352,11,37,126.44318181818181
5,SC08(Control),15,329,1,40,116.5015197568389
5,SC08(Control),16,259,1,30,124.27799227799228
5,SC08(Control),17,349,12,30,127.5243553008596
5,SC08(Control),18,373,11,39,122.67292225201072
5,SC08(Control),19,380,15,37,125.45263157894736
5,SC08(Control),20,385,3,36,127.31688311688312
5,SC08(Control),21,396,15,33,123.39393939393939
5,SC08(Control),22,421,11,38,121.74346793349169
