MouseID,MouseLabel,DayIndex,TotalBoutTime_min,MostFrequentBoutDuration_min,NumberOfBouts,MeanRevsIngBoutWindow
1,SC04(SNr-DTA),0,114,1,39,35.5
1,SC04(SNr-DTA),1,216,2,57,43.050925925925924
1,SC04(SNr-DTA),2,260,3,56,45.70384615384615
1,SC04(SNr-DTA),3,274,3,62,53.74452554744526
1,SC04(SNr-DTA),4,311,2,63,57.20900321543408
1,SC04(SNr-DTA),5,286,2,86,58.61188811188811
1,SC04(SNr-DTA),6,385,2,59,72.47012987012987
1,SC04(SNr-DTA),7,366,4,64,72.84699453551913
1,SC04(SNr-DTA),8,371,4,52,80.7654986522911
1,SC04(SNr-DTA),9,331,3,56,80.62537764350454
1,SC04(SNr-DTA),10,350,2,66,83.31714285714285
1,SC04(SNr-DTA),11,321,3,57,87.72274143302181
1,SC04(SNr-DTA),12,233,1,44,85.45064377682404
1,SC04(SNr-DTA),13,282,4,52,88.03191489361703
1,SC04(SNr-DTA),14,256,2,42,88.71875
1,SC04(SNr-DTA),15,274,1,44,93.54014598540147
1,SC04(SNr-DTA),16,309,5,36,93.79288025889967
1,SC04(SNr-DTA),17,298,2,44,97.51677852348993
1,SC04(SNr-DTA),18,323,3,39,102.27863777089783
1,SC04(SNr-DTA),19,327,3,36,103.89908256880734
1,SC04(SNr-DTA),20,314,5,37,103.68152866242038
1,SC04(SNr-DTA),21,307,2,39,103.54397394136808
1,SC04(SNr-DTA),22,344,5,37,106.11046511627907
1,SC04(SNr-DTA),23,315,3,38,106.44444444444444
1,SC04(SNr-DTA),24,102,10,13,101.3921568627451
2,SC05(SNr-DTA),0,56,4,13,40.660714285714285
2,SC05(SNr-DTA),1,163,1,42,45.190184049079754
2,SC05(SNr-DTA),2,218,1,59,48.08715596330275
2,SC05(SNr-DTA),3,210,3,57,54.58095238095238
2,SC05(SNr-DTA),4,275,3,78,60.93454545454546
2,SC05(SNr-DTA),5,354,2,71,70.12994350282486
2,SC05(SNr-DTA),6,273,4,57,68.57509157509158
2,SC05(SNr-DTA),7,183,2,38,70.25136612021858
2,SC05(SNr-DTA),8,189,1,31,78.44973544973546
2,SC05(SNr-DTA),9,189,1,34,84.4973544973545
2,SC05(SNr-DTA),10,177,7,24,83.76271186440678
2,SC05(SNr-DTA),11,187,5,23,84.42780748663101
2,SC05(SNr-DTA),12,292,2,39,88.66095890410959
2,SC05(SNr-DTA),13,128,2,20,90.5703125
2,SC05(SNr-DTA),14,231,4,40,93.46320346320347
2,SC05(SNr-DTA),15,194,7,35,85.51546391752578
2,SC05(SNr-DTA),16,151,1,28,89.52317880794702
2,SC05(SNr-DTA),17,185,3,23,91.43243243243244
2,SC05(SNr-DTA),18,146,1,22,89.33561643835617
2,SC05(SNr-DTA),19,176,1,31,87.75568181818181
2,SC05(SNr-DTA),20,176,1,32,94.68181818181819
2,SC05(SNr-DTA),21,197,7,30,91.10659898477158
2,SC05(SNr-DTA),22,167,1,27,92.48502994011976
2,SC05(SNr-DTA),23,179,1,29,96.95530726256983
2,SC05(SNr-DTA),24,67,1,9,86.56716417910448
3,SC06(SNr-DTA),0,172,4,20,73.70930232558139
3,SC06(SNr-DTA),1,299,8,36,81.91973244147157
3,SC06(SNr-DTA),2,278,7,43,86.20863309352518
3,SC06(SNr-DTA),3,307,8,44,93.39739413680782
3,SC06(SNr-DTA),4,282,1,50,87.73404255319149
3,SC06(SNr-DTA),5,311,1,65,78.88424437299035
3,SC06(SNr-DTA),6,340,1,55,100.31176470588235
3,SC06(SNr-DTA),7,334,1,56,99.69161676646706
3,SC06(SNr-DTA),8,298,2,37,104.86241610738254
3,SC06(SNr-DTA),9,316,1,39,106.59493670886076
3,SC06(SNr-DTA),10,350,16,24,107.52571428571429
3,SC06(SNr-DTA),11,271,1,23,102.12546125461255
3,SC06(SNr-DTA),12,230,2,15,100.1086956521739
3,SC06(SNr-DTA),13,231,8,20,105.94372294372295
3,SC06(SNr-DTA),14,298,1,25,103.61409395973155
3,SC06(SNr-DTA),15,347,1,47,100.07780979827089
3,SC06(SNr-DTA),16,327,10,25,107.14067278287462
3,SC06(SNr-DTA),17,184,3,35,77.96739130434783
3,SC06(SNr-DTA),18,8,5,3,47.125
3,SC06(SNr-DTA),19,64,1,14,73.265625
3,SC06(SNr-DTA),20,111,1,15,87.57657657657657
3,SC06(SNr-DTA),21,131,1,16,96.0381679389313
3,SC06(SNr-DTA),22,193,1,16,100.27979274611398
3,SC06(SNr-DTA),23,251,1,26,99.86454183266932
3,SC06(SNr-DTA),24,122,3,13,102.10655737704919
5,SC08(Control),0,102,3,29,49.94117647058823
5,SC08(Control),1,268,3,54,58.667910447761194
5,SC08(Control),2,299,4,57,67.45819397993311
5,SC08(Control),3,347,4,52,75.11239193083574
5,SC08(Control),4,392,5,51,82.16581632653062
5,SC08(Control),5,382,1,52,88.94764397905759
5,SC08(Control),6,334,1,52,94.15269461077844
5,SC08(Control),7,448,7,38,104.078125
5,SC08(Control),8,416,10,49,102.15865384615384
5,SC08(Control),9,398,8,43,105.68844221105527
5,SC08(Control),10,403,14,43,113.55334987593052
5,SC08(Control),11,369,1,41,116.30352303523036
5,SC08(Control),12,362,5,40,113.26243093922652
5,SC08(Control),13,378,6,42,124.94708994708995
5,SC08(Control),14,352,11,37,126.44318181818181
5,SC08(Control),15,329,1,40,116.5015197568389
5,SC08(Control),16,259,1,30,124.27799227799228
5,SC08(Control),17,349,12,30,127.5243553008596
5,SC08(Control),18,373,11,39,122.67292225201072
5,SC08(Control),19,380,15,37,125.45263157894736
5,SC08(Control),20,385,3,36,127.31688311688312
5,SC08(Control),21,396,15,33,123.39393939393939
